incident_id,series_id,is_singleton,district,state,lat,lon,date
0,0,False,NALGONDA,ANDHRA PRADESH,17.195796916611563,79.25602782603916,2022-08-07
1,0,False,NALGONDA,ANDHRA PRADESH,17.078453389416467,79.15865159915597,2022-08-22
2,1,False,JALPAIGURI,WEST BENGAL,26.65042748016958,88.9543144506513,2018-06-11
3,1,False,JALPAIGURI,WEST BENGAL,26.648369967936915,89.08294315883985,2018-06-18
4,2,False,SAHARSA,BIHAR,25.741157722947055,86.48412583929469,2020-01-18
5,2,False,SAHARSA,BIHAR,25.858742394986386,86.53246399668087,2020-03-29
6,2,False,SAHARSA,BIHAR,25.887303782776407,86.52956889245678,2020-05-24
7,2,False,SAHARSA,BIHAR,25.874463276636718,86.48961128869287,2020-08-17
8,2,False,SAHARSA,BIHAR,25.84301491357318,86.51872958569753,2020-09-02
9,2,False,SAHARSA,BIHAR,25.736947292438295,86.5053967266818,2020-10-21
10,3,False,JEHANABAD,BIHAR,25.182735630540225,84.95895877411685,2019-06-07
11,3,False,JEHANABAD,BIHAR,25.184657107123822,84.9470378187643,2019-06-09
12,3,False,JEHANABAD,BIHAR,25.02744183290897,84.9600546518304,2019-06-25
13,3,False,JEHANABAD,BIHAR,25.145623817274057,84.97646074458301,2019-07-25
14,4,False,LAWNGTLAI,MIZORAM,22.36520948387053,92.64183197205755,2020-09-25
15,4,False,LAWNGTLAI,MIZORAM,22.362974090345073,92.62738930360153,2020-12-17
16,5,False,UDAIPUR,RAJASTHAN,24.454710734232364,73.78990375251881,2021-07-16
17,5,False,UDAIPUR,RAJASTHAN,24.520181325357463,73.80918802773526,2021-08-28
18,5,False,UDAIPUR,RAJASTHAN,24.470244864301783,73.78275517454071,2021-09-08
19,5,False,UDAIPUR,RAJASTHAN,24.486985407859372,73.84202899370926,2021-09-19
20,5,False,UDAIPUR,RAJASTHAN,24.48195517659381,73.8373342676987,2021-09-25
21,5,False,UDAIPUR,RAJASTHAN,24.415749466130155,73.86455645562728,2021-10-01
22,5,False,UDAIPUR,RAJASTHAN,24.437754927679936,73.78670027238549,2021-10-11
23,5,False,UDAIPUR,RAJASTHAN,24.465495352766144,73.8889815755672,2021-12-08
24,6,False,GOPALGANJ,BIHAR,26.39948573838446,84.30331918607382,2020-07-09
25,6,False,GOPALGANJ,BIHAR,26.40241698444214,84.4206072093367,2021-01-06
26,7,False,INDORE RLY.,MADHYA PRADESH,22.6948421171335,75.86582205812243,2022-01-24
27,7,False,INDORE RLY.,MADHYA PRADESH,22.63841903364147,75.83522915538467,2022-02-03
28,7,False,INDORE RLY.,MADHYA PRADESH,22.711009535283516,75.90540144514898,2022-03-03
29,8,False,HOWRAH,WEST BENGAL,22.392549177867487,88.0229890955,2020-05-09
30,8,False,HOWRAH,WEST BENGAL,22.388127763492108,87.94776231164347,2020-05-29
31,8,False,HOWRAH,WEST BENGAL,22.42465946775075,88.04363943212327,2020-05-31
32,8,False,HOWRAH,WEST BENGAL,22.41781404320466,87.9367074952924,2020-06-13
33,8,False,HOWRAH,WEST BENGAL,22.432538249024613,88.02197978142543,2020-07-21
34,9,False,SULTANPUR,UTTAR PRADESH,26.363527050246596,82.00372488154777,2021-12-18
35,9,False,SULTANPUR,UTTAR PRADESH,26.243100145919733,82.06440148470725,2022-02-01
36,9,False,SULTANPUR,UTTAR PRADESH,26.374553025046154,82.11667405201457,2022-02-03
